Jennifer A.,Rea,Aeneas’ American New World in Jo Graham’s Black Ships,Classical Traditions in Modern Fantasy,Benjamin Eldon,Stevens,2017,English,New York,Oxford University Press,290,307,,,,,2017,TRUE
Ayelet Haimson,Lushkov,"Genre, Mimesis, and Virgilian Intertext in George R. R. Martin’s A Song of Ice and Fire",Classical Traditions in Modern Fantasy,Brett M.,Rogers,2017,English,New York,Oxford University Press,308,324,,,,,2017,TRUE
Ayelet Haimson,Lushkov,"Genre, Mimesis, and Virgilian Intertext in George R. R. Martin’s A Song of Ice and Fire",Classical Traditions in Modern Fantasy,Benjamin Eldon,Stevens,2017,English,New York,Oxford University Press,308,324,,,,,2017,TRUE
Benjamin Eldon,Stevens,Introduction: Fantasies of Antiquity,Classical Traditions in Modern Fantasy,Brett M.,Rogers,2017,English,New York,Oxford University Press,1,22,,,,,2017,TRUE
Brett M.,Rogers,Introduction: Fantasies of Antiquity,Classical Traditions in Modern Fantasy,Benjamin Eldon,Stevens,2017,English,New York,Oxford University Press,1,22,,,,,2017,TRUE
,,,Classical Traditions in Modern Fantasy,Brett M.,Rogers,2017,English,New York,Oxford University Press,,,,,,,2017,TRUE
,,,Classical Traditions in Modern Fantasy,Benjamin Eldon,Stevens,2017,English,New York,Oxford University Press,,,,,,,2017,TRUE
Benjamin Eldon,Stevens,Introduction: The Past Is an Undiscovered Country,Classical Traditions in Science Fiction,Brett M.,Rogers,2015,English,New York,Oxford University Press,1,24,,,,,2015,TRUE
Brett M.,Rogers,Introduction: The Past Is an Undiscovered Country,Classical Traditions in Science Fiction,Benjamin Eldon,Stevens,2015,English,New York,Oxford University Press,1,24,,,,,2015,TRUE
Dean,Swinford,"The Lunar Setting of Johannes Kepler’s Somnium, Science Fiction’s Missing Link",Classical Traditions in Science Fiction,Brett M.,Rogers,2015,English,New York,Oxford University Press,27,45,,,,,2015,TRUE
Dean,Swinford,"The Lunar Setting of Johannes Kepler’s Somnium, Science Fiction’s Missing Link",Classical Traditions in Science Fiction,Benjamin Eldon,Stevens,2015,English,New York,Oxford University Press,27,45,,,,,2015,TRUE
Jesse,Weiner,"Lucretius, Lucan, and Mary Shelley’s Frankenstein",Classical Traditions in Science Fiction,Brett M.,Rogers,2015,English,New York,Oxford University Press,46,74,,,,,2015,TRUE
Jesse,Weiner,"Lucretius, Lucan, and Mary Shelley’s Frankenstein",Classical Traditions in Science Fiction,Benjamin Eldon,Stevens,2015,English,New York,Oxford University Press,46,74,,,,,2015,TRUE
Benjamin Eldon,Stevens,Virgil in Jules Verne’s Journey to the Center of the Earth,Classical Traditions in Science Fiction,Brett M.,Rogers,2015,English,New York,Oxford University Press,75,104,,,,,2015,TRUE
Benjamin Eldon,Stevens,Virgil in Jules Verne’s Journey to the Center of the Earth,Classical Traditions in Science Fiction,Benjamin Eldon,Stevens,2015,English,New York,Oxford University Press,75,104,,,,,2015,TRUE
Antony,Keen,Mr. Lucian in Suburbia: Links Between the True History and The First Men in the Moon,Classical Traditions in Science Fiction,Brett M.,Rogers,2015,English,New York,Oxford University Press,105,120,,,,,2015,TRUE
Antony,Keen,Mr. Lucian in Suburbia: Links Between the True History and The First Men in the Moon,Classical Traditions in Science Fiction,Benjamin Eldon,Stevens,2015,English,New York,Oxford University Press,105,120,,,,,2015,TRUE
Gregory S.,Bucher,A Complex Oedipus: The Tragedy of Edward Morbius,Classical Traditions in Science Fiction,Brett M.,Rogers,2015,English,New York,Oxford University Press,123,144,,,,,2015,TRUE
Gregory S.,Bucher,A Complex Oedipus: The Tragedy of Edward Morbius,Classical Traditions in Science Fiction,Benjamin Eldon,Stevens,2015,English,New York,Oxford University Press,123,144,,,,,2015,TRUE
Erik,Grayson,"Walter M. Miller, Jr.’s A Canticle for Leibowitz, the Great Year, and the Ages of Man",Classical Traditions in Science Fiction,Brett M.,Rogers,2015,English,New York,Oxford University Press,145,160,,,,,2015,TRUE
Erik,Grayson,"Walter M. Miller, Jr.’s A Canticle for Leibowitz, the Great Year, and the Ages of Man",Classical Traditions in Science Fiction,Benjamin Eldon,Stevens,2015,English,New York,Oxford University Press,145,160,,,,,2015,TRUE
Joel,Christensen,Time and Self-Referentiality in the Iliad and Frank Herbert’s Dune,Classical Traditions in Science Fiction,Brett M.,Rogers,2015,English,New York,Oxford University Press,161,175,,,,,2015,TRUE
Joel,Christensen,Time and Self-Referentiality in the Iliad and Frank Herbert’s Dune,Classical Traditions in Science Fiction,Benjamin Eldon,Stevens,2015,English,New York,Oxford University Press,161,175,,,,,2015,TRUE
Rebecca,Raphael,Disability as Rhetorical Trope in Classical Myth and Blade Runner,Classical Traditions in Science Fiction,Brett M.,Rogers,2015,English,New York,Oxford University Press,176,196,,,,,2015,TRUE
Rebecca,Raphael,Disability as Rhetorical Trope in Classical Myth and Blade Runner,Classical Traditions in Science Fiction,Benjamin Eldon,Stevens,2015,English,New York,Oxford University Press,176,196,,,,,2015,TRUE
George,Kovacs,Moral and Mortal in Star Trek: The Original Series,Classical Traditions in Science Fiction,Brett M.,Rogers,2015,English,New York,Oxford University Press,199,216,,,,,2015,TRUE
George,Kovacs,Moral and Mortal in Star Trek: The Original Series,Classical Traditions in Science Fiction,Benjamin Eldon,Stevens,2015,English,New York,Oxford University Press,199,216,,,,,2015,TRUE
Brett M.,Rogers,Hybrids and Homecomings in the Odyssey and Alien Resurrection,Classical Traditions in Science Fiction,Brett M.,Rogers,2015,English,New York,Oxford University Press,217,242,,,,,2015,TRUE
Brett M.,Rogers,Hybrids and Homecomings in the Odyssey and Alien Resurrection,Classical Traditions in Science Fiction,Benjamin Eldon,Stevens,2015,English,New York,Oxford University Press,217,242,,,,,2015,TRUE
Vincent,Tomasso,Classical Antiquity and Western Identity in Battlestar Galactica,Classical Traditions in Science Fiction,Brett M.,Rogers,2015,English,New York,Oxford University Press,243,259,,,,,2015,TRUE
Vincent,Tomasso,Classical Antiquity and Western Identity in Battlestar Galactica,Classical Traditions in Science Fiction,Benjamin Eldon,Stevens,2015,English,New York,Oxford University Press,243,259,,,,,2015,TRUE
Gael,Grobety,Revised Iliadic Epiphanies in Dan Simmons’s Ilium,Classical Traditions in Science Fiction,Brett M.,Rogers,2015,English,New York,Oxford University Press,263,279,,,,,2015,TRUE
Gael,Grobety,Revised Iliadic Epiphanies in Dan Simmons’s Ilium,Classical Traditions in Science Fiction,Benjamin Eldon,Stevens,2015,English,New York,Oxford University Press,263,279,,,,,2015,TRUE
Marian,Makins,Refiguring the Roman Empire in The Hunger Games Trilogy,Classical Traditions in Science Fiction,Brett M.,Rogers,2015,English,New York,Oxford University Press,280,306,,,,,2015,TRUE
Marian,Makins,Refiguring the Roman Empire in The Hunger Games Trilogy,Classical Traditions in Science Fiction,Benjamin Eldon,Stevens,2015,English,New York,Oxford University Press,280,306,,,,,2015,TRUE
C.W.,Marshall,Jonathan Hickman’s Pax Romana and the End of Antiquity,Classical Traditions in Science Fiction,Brett M.,Rogers,2015,English,New York,Oxford University Press,307,325,,,,,2015,TRUE
C.W.,Marshall,Jonathan Hickman’s Pax Romana and the End of Antiquity,Classical Traditions in Science Fiction,Benjamin Eldon,Stevens,2015,English,New York,Oxford University Press,307,325,,,,,2015,TRUE
,,,Classical Traditions in Science Fiction,Brett M.,Rogers,2015,English,New York,Oxford University Press,,,,,,,2015,TRUE
,,,Classical Traditions in Science Fiction,Benjamin Eldon,Stevens,2015,English,New York,Oxford University Press,,,,,,,2015,TRUE
Brian W.,Aldiss,,Billion Year Spree: The True History of Science Fiction,,,1976,English,New York,Schocken Books,,,,,,,1976,TRUE
Brian W.,Aldiss,,The Detached Retina: Aspects of SF and Fantasy,,,1995,English,New York,Syracuse University Press,,,,,,,1995,TRUE
Brian W.,Aldiss,,Trillion-Year Spree,,,2001,English,London,House of Stratus Ltd.,,,,,,,2001,TRUE
David,Wingrove,,Trillion-Year Spree,,,2001,English,London,House of Stratus Ltd.,,,,,,,2001,TRUE
Brian W.,Aldiss,Roundtable on SF Criticism,Science Fiction Studies 33.3,,,2006,English,,,389,404,,,,,2006,FALSE
K.,Amis,,New Maps of Hell: A Survey of Science Fiction,,,1974,English,New York,Arno Press,,,,,,,1960,TRUE
Marc,Angenot,The Absent Paradigm: An Introduction to the Semiotics of Science Fiction,Science Fiction Studies 6.1,,,1979,English,,,9,19,,,,,1979,FALSE
Marc,Angenot,Not Only but Also: Reflections on Cognition and Ideology in Science Fiction and SF Criticism,Science Fiction Studies 6,,,1979,English,,,168,179,,,,,1979,FALSE
Darko,Suvin,Not Only but Also: Reflections on Cognition and Ideology in Science Fiction and SF Criticism,Science Fiction Studies 6,,,1979,English,,,168,179,,,,,1979,FALSE
Robert,Asa,Classics Star Trek and the Death of God,"Star Trek and Sacred Ground: Explorations of Star Trek, Religion and American Culture",J. ,Porter,1999,English,Albany,SUNY Press,33,59,,,,,1999,FALSE
Robert,Asa,Classics Star Trek and the Death of God,"Star Trek and Sacred Ground: Explorations of Star Trek, Religion and American Culture",D.,McLaren,1999,English,Albany,SUNY Press,33,59,,,,,1999,FALSE
Mike,Ashley,,Out of the World: Science Fiction but Not as You Know It,,,2011,English,London,British Library,,,,,,,2011,TRUE
Stephen,Asma,,On Monsters: An Unnatural History of Our Worst Fears,,,2009,English,"Oxford, UK",Oxford University Press,,,,,,,2009,TRUE
Raffaella,Baccolini,Dystopia and Histories,Dark Horizons: Science Fiction and the Dystopian Imagination,Tom,Moylan,2003,English,New York,Routledge,1,12,,,,,2003,FALSE
Tom,Moylan,Dystopia and Histories,Dark Horizons: Science Fiction and the Dystopian Imagination,Raffaella,Baccolini,2003,English,New York,Routledge,1,12,,,,,2003,FALSE
Raffaella,Baccolini,‘A Useful Knowledge of the Present Is Rooted in the Past’: Memory and Historical Reconciliation in Ursula K. Le Guin’s The Telling,Dark Horizons: Science Fiction and the Dystopian Imagination,Tom,Moylan,2003,English,New York,Routledge,113,134,,,,,2003,FALSE
Raffaella,Baccolini,‘A Useful Knowledge of the Present Is Rooted in the Past’: Memory and Historical Reconciliation in Ursula K. Le Guin’s The Telling,Dark Horizons: Science Fiction and the Dystopian Imagination,Raffaella,Baccolini,2003,English,New York,Routledge,113,134,,,,,2003,FALSE
Djoymi,Baker,‘Every Old Trick Is New Again’: Myth in Quotations and the Star Trek Franchise,Popular Culture Review 12,,,2001,English,,,67,77,,,,,2001,FALSE
Chris,Baldick,,"Myth, Monstrosity, and Nineteenth-Century Writing",,,1987,English,"Oxford, UK",Clarendon Press,,,,,,,1987,TRUE
Michelle,Barrett,,Star Trek: The Human Frontier,,,2001,English,New York and London,Routledge,,,,,,,2001,TRUE
Duncan,Barrett,,Star Trek: The Human Frontier,,,2001,English,New York and London,Routledge,,,,,,,2001,TRUE
Sylvaine,Bataille,Battlestar Galactica et l'héritage gréco-latin,"L’Antiquité dans l’imaginaire contemporain: Fantasy, science-fiction, fantastique",Mélanie,Bost-Fiévet,2014,French,Paris,Classiques Garnier,465,482,,,,,2014,TRUE
Sylvaine,Bataille,Battlestar Galactica et l'héritage gréco-latin,"L’Antiquité dans l’imaginaire contemporain: Fantasy, science-fiction, fantastique",Sandra,Provini,2014,French,Paris,Classiques Garnier,465,482,,,,,2014,TRUE
John,Baxter,,Science Fiction in the Cinema,,,1970,English,New York and London,A. S. Barnes & Co.,,,,,,,1970,TRUE
Stephen,Baxter,,Emperor: Time's Tapestry: Book One,,,2006,English,London,Gollanez,,,,,,,2006,TRUE
Timothy K.,Beal,,Religion and Its Monsters,,,2001,English,London,Routledge,,,,,,,2001,TRUE
Jeffrey,Berman,Forster’s Other Cave: The Platonic Structure of ‘The Machine Stops’,Extrapolation 17.2,,,1976,English,,,172,181,,,,,1976,FALSE
Sylvia,Berryman,Ancient Automata and Mechanical Explanation,Phronesis 48.4,,,2003,English,,,344,369,,,,,2003,FALSE
James,Blasingame,An Interview with Suzanne Collins,Journal of Adolescent and Adult Literacy 52.8,,,2009,English,,,726,727,,,,,2009,FALSE
Everett F.,Bleiler,,Science-Fiction: The Early Years,,,1990,English,"Kent, OH",Kent State,,,,,,,1990,TRUE
Pierre,Boitani,,The Shadows of Ulysses: Figures of a Myth,,,1994,English,"Oxford, UK",Oxford University Press,,,A. ,Weston,,,1994,TRUE
Peter,Bondanell,,The Eternal City: Roman Images in the Modern World,,,1987,English,"Chapel Hill, NC",University of North Carolina Press,,,,,,,1987,TRUE
M. Keith,Booker,,Alternate Americas: Science Fiction Film and American Culture,,,2006,English,"Westport, CT",Praeger,,,,,,,2006,TRUE
,,,"L’Antiquité dans l’imaginaire contemporain: Fantasy, science-fiction, fantastique",Mélanie,Bost-Fiévet,2014,French,Paris,Classiques Garnier,465,482,,,,,2014,TRUE
,,,"L’Antiquité dans l’imaginaire contemporain: Fantasy, science-fiction, fantastique",Sandra,Provini,2014,French,Paris,Classiques Garnier,465,482,,,,,2014,TRUE
Roger,Bozzetto,,L’obscur objet d’un savoir,,,1992,French,"Provence, France",Publications de l’Université de Provence,,,,,,,1992,TRUE
Mark L.,Brake,,Different Engines: How Science Drives Fiction and Fiction Drives Science,,,2008,English,New York,Palgrave Macmillan,,,,,,,2008,TRUE
Neil,Hook,,Different Engines: How Science Drives Fiction and Fiction Drives Science,,,2008,English,New York,Palgrave Macmillan,,,,,,,2008,TRUE
Patrick,Brantlinger,The Gothic Origins of Science Fiction,Novel: A Forum on Fiction 14,,,1980,English,,,30,43,,,,,1980,FALSE
Susanna Morton,Braund,"Satiric Grotesques in Public and Private: Juvenal, Dr. Frankenstein, Raymond Chandler, and ‘Absolutely Fabulous’",Greece & Rome 49,,,2002,English,,,62,84,,,,,2002,FALSE
Wendy,Raschke,"Satiric Grotesques in Public and Private: Juvenal, Dr. Frankenstein, Raymond Chandler, and ‘Absolutely Fabulous’",Greece & Rome 49,,,2002,English,,,62,84,,,,,2002,FALSE
Damien,Broderick,New Wave and Backwash: 1960–1980,The Cambridge Companion to Science Fiction,E. ,James,2003,English,"Cambridge, UK",Cambridge University Press,48,63,,,,,2003,FALSE
Damien,Broderick,New Wave and Backwash: 1960–1980,The Cambridge Companion to Science Fiction,F.,Mendlesohn,2003,English,"Cambridge, UK",Cambridge University Press,48,63,,,,,2003,FALSE
J.,Brosnan,,Future Tense. The Cinema of Science Fiction,,,1978,English,New York,St. Martin’s Press,,,,,,,1978,TRUE
Sarah Annes,Brown,‘Plato’s Stepchildren’: SF and the Classics,A Companion to Classical Reception,L.,Hardwick,2008,English,"Oxford, UK",Blackwell Publishing,415,427,,,,,2008,FALSE
Sarah Annes,Brown,‘Plato’s Stepchildren’: SF and the Classics,A Companion to Classical Reception,C. ,Stray,2008,English,"Oxford, UK",Blackwell Publishing,415,427,,,,,2008,FALSE
Sarah Annes,Brown,Science Fiction and Classical Reception in Contemporary Women’s Writing,Classical Receptions Journal 4.2,,,2012,English,,,209,223,,,,,2012,FALSE
J.,Buchanan,Forbidden Planet and the Retrospective Attribution of Intentions,Retrovisions: Reinventing the Past in Film and Fiction,D.,Cartmell,2001,English,London,Pluto Press,148,162,,,,,2001,FALSE
J.,Buchanan,Forbidden Planet and the Retrospective Attribution of Intentions,Retrovisions: Reinventing the Past in Film and Fiction,I.,Hunter,2001,English,London,Pluto Press,148,162,,,,,2001,FALSE
